CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,50,287,0,321
0,17,288,0,230
0,0,289,0,187
0,169,290,0,4235
0,15,291,0,4217
0,20,292,0,1991
0,0,293,0,86
0,5,294,0,610
0,8,295,0,1208
0,24,296,0,583
0,8,297,0,287
0,18,298,0,1385
0,9,299,0,643
0,175,300,0,11428
0,55,301,0,994
0,59,302,0,4273
0,66,303,0,1352
0,33,304,0,2002
0,107,305,0,10241
0,17,306,0,4926
0,77,307,0,1395
0,75,308,0,2915
0,57,309,0,1420
0,652,310,0,10008
0,123,311,0,1842
0,193,312,0,6121
0,205,312.5,0,1536
0,274,314,0,3375
0,743,315,0,12332
0,646,316,0,14579
0,642,317.5,0,1748
0,1032,318,0,9640
0,1596,319,0,7382
0,4625,320,0,21430
0,3229,321,0,1784
0,2784,322,0,8101
0,1631,322.5,0,1540
0,2602,323,0,7663
0,5541,324,0,2923
0,29957,325,0,31423
0,2770,326,0,5290
0,3341,327,0,1819
0,1381,327.5,0,1259
0,4197,328,0,2330
0,2684,329,0,1950
0,39881,330,0,16725
0,9896,331,0,7507
0,3980,332,0,11227
0,11197,332.5,0,1297
0,2872,333,0,8813
0,5359,334,0,735
0,70792,335,0,16265
0,14738,336,0,3188
0,2701,337,0,1863
0,1781,337.5,0,1073
0,32425,338,0,3557
0,2408,339,0,1637
0,26659,340,0,19586
0,2006,341,0,1757
0,4447,342,0,2111
