CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,0,294,0,414
0,4,295,0,623
0,0,296,0,452
0,0,297,0,499
0,1,298,0,265
0,7,299,0,522
0,31,300,0,4247
0,4,301,0,1989
0,1,302,0,548
0,14,303,0,1078
0,10,304,0,804
0,35,305,0,3232
0,20,306,0,695
0,6,307,0,533
0,22,308,0,1016
0,51,309,0,311
0,51,310,0,5105
0,78,311,0,1045
0,141,312,0,10571
0,115,313,0,628
0,159,314,0,662
0,511,315,0,3674
0,436,316,0,1906
0,745,317,0,823
0,1758,318,0,2679
0,566,319,0,952
0,1425,320,0,4331
0,1210,321,0,1264
0,1001,322,0,1434
0,563,323,0,1219
0,1117,324,0,847
0,1765,325,0,3462
0,838,326,0,1504
0,1329,327,0,1208
0,1473,328,0,624
0,923,329,0,864
0,2985,330,0,4346
0,7450,331,0,222
0,965,332,0,911
0,7406,333,0,476
0,1400,334,0,723
0,1412,335,0,1321
0,1325,336,0,330
0,2770,337,0,122
0,2357,338,0,972
0,1228,339,0,226
0,8335,340,0,1422
0,711,341,0,425
0,1523,342,0,399
0,709,343,0,186
0,888,344,0,465
0,7140,345,0,467
0,4605,346,0,249
0,372,347,0,52
0,4555,348,0,499
0,306,349,0,46
0,2057,350,0,3131
0,390,351,0,69
0,804,352,0,99
0,484,353,0,22
