CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,9,295,0,4050
0,24,296,0,3733
0,8,297,0,717
0,18,298,0,855
0,9,299,0,734
0,170,300,0,12399
0,102,301,0,1683
0,73,302,0,2701
0,320,303,0,2183
0,31,304,0,2826
0,195,305,0,8279
0,178,306,0,7667
0,131,307,0,1607
0,125,308,0,8445
0,130,309,0,3923
0,431,310,0,18479
0,141,311,0,3897
0,349,312,0,13836
0,243,312.5,0,3399
0,299,314,0,7373
0,1338,315,0,20812
0,1360,316,0,17739
0,910,317.5,0,6199
0,1418,318,0,13952
0,1426,319,0,10413
0,6674,320,0,32243
0,3433,321,0,6982
0,5288,322,0,7530
0,1613,322.5,0,3615
0,3028,323,0,7191
0,4708,324,0,4740
0,34118,325,0,42907
0,6269,326,0,6790
0,2703,327,0,5081
0,2200,327.5,0,1674
0,6569,328,0,4937
0,13600,329,0,3261
0,27071,330,0,16529
0,8945,331,0,2850
0,5665,332,0,3455
0,12867,332.5,0,1214
0,2911,333,0,3767
0,8461,334,0,940
0,52778,335,0,15279
0,11543,336,0,2961
0,4831,337,0,1299
0,2199,337.5,0,1066
0,10462,338,0,3361
0,3250,339,0,1518
0,20587,340,0,21683
0,3626,341,0,1722
0,3799,342,0,2035
0,1846,342.5,0,1461
0,5174,343,0,1932
0,2795,344,0,3986
0,18955,345,0,5451
0,9723,346,0,2463
0,7891,347,0,934
0,3092,347.5,0,416
0,4090,348,0,1572
