CallVolume,CallOpenInt,Strike,PutVolume,PutOpenInt
0,7,294,0,874
0,8,295,0,6879
0,24,296,0,3378
0,8,297,0,365
0,18,298,0,877
0,9,299,0,732
0,178,300,0,11670
0,66,301,0,1708
0,62,302,0,2492
0,64,303,0,2514
0,31,304,0,2049
0,115,305,0,16177
0,43,306,0,8707
0,109,307,0,1205
0,103,308,0,7612
0,98,309,0,3067
0,627,310,0,15798
0,141,311,0,3356
0,315,312,0,7962
0,253,312.5,0,2140
0,454,314,0,5384
0,1416,315,0,19140
0,1127,316,0,17417
0,1148,317.5,0,5036
0,1519,318,0,10511
0,2010,319,0,10267
0,7465,320,0,22543
0,3991,321,0,2145
0,6312,322,0,7892
0,1773,322.5,0,1632
0,3594,323,0,7871
0,5976,324,0,3129
0,34144,325,0,31406
0,3099,326,0,5251
0,4241,327,0,1852
0,1720,327.5,0,1208
0,6020,328,0,2308
0,11925,329,0,2188
0,35104,330,0,16487
0,8808,331,0,7500
0,4210,332,0,9547
0,10776,332.5,0,1307
0,2230,333,0,8800
0,7303,334,0,729
0,62641,335,0,16086
0,10752,336,0,3050
0,3150,337,0,1758
0,1980,337.5,0,1082
0,17425,338,0,3402
0,2564,339,0,1647
0,24468,340,0,19379
0,2128,341,0,1779
0,3911,342,0,2086
0,1553,342.5,0,1486
0,5060,343,0,7084
0,2641,344,0,3966
0,17175,345,0,5504
0,10028,346,0,2485
0,7840,347,0,942
0,2303,347.5,0,473
